file_name,confidence,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,AU01_c,AU02_c,AU04_c,AU05_c,AU06_c,AU07_c,AU09_c,AU10_c,AU12_c,AU14_c,AU15_c,AU17_c,AU20_c,AU23_c,AU25_c,AU26_c,AU28_c,AU45_c,label
Training_983506.jpg,0.875,0.0,0.0,3.42,0.02,0.21,1.33,0.17,1.07,0.0,0.0,1.21,0.54,0.61,0.0,0.0,1.6,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,angry
Training_2944904.jpg,0.925,0.0,0.0,0.0,0.0,0.14,1.35,0.66,0.76,0.0,0.0,0.69,0.0,0.0,0.0,0.58,0.48,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,angry
Training_3629189.jpg,0.925,1.13,0.0,0.0,0.05,0.0,0.0,0.0,0.67,0.5,0.0,0.0,0.19,0.62,0.0,0.0,0.0,0.27,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,angry
Training_1477608.jpg,0.925,0.0,0.0,0.0,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.0,0.12,0.0,0.0,0.79,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,angry
Training_1193977.jpg,0.875,0.01,0.0,0.0,0.47,0.11,2.21,0.77,0.07,0.3,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,angry
Training_3358021.jpg,0.875,0.31,0.0,0.45,1.06,0.65,3.19,1.96,1.4,0.0,0.0,1.13,0.0,0.82,0.13,0.55,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,angry
Training_1589886.jpg,0.875,0.0,0.0,0.45,0.5,0.0,0.3,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,angry
Training_3360192.jpg,0.875,0.0,0.02,1.13,0.0,0.61,0.91,0.91,0.18,0.0,0.05,0.24,0.06,1.49,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,angry
Training_2982349.jpg,0.875,0.9,0.0,1.35,2.17,0.75,1.48,0.0,0.9,0.01,0.53,0.36,0.0,1.02,0.63,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,angry
Training_3490947.jpg,0.875,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.32,0.27,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,angry
